fecha,categoria,evento,canal,impacto_esperado,intensidad,comentario,fuente,url,origen
2016-01-16,Geopolítica/Sanciones,Levantamiento parcial de sanciones a Irán tras implementación del acuerdo nuclear,oferta,Presión bajista por expectativa de mayor oferta iraní,3,Evento contextual de mercado petrolero internacional.,Base curada,,Base curada
2016-11-30,OPEP/Oferta,OPEP acuerda recorte de producción para estabilizar el mercado,oferta,Presión alcista por menor oferta esperada,4,Acuerdo relevante tras periodo de sobreoferta.,Base curada,,Base curada
2017-08-25,Clima/Refinación,Huracán Harvey afecta refinerías y logística energética en la costa del Golfo,refinación/logística,Presión alcista en productos refinados por interrupciones,4,Evento climático con impacto fuerte en refinación y combustibles.,Base curada,,Base curada
2018-05-08,Geopolítica/Sanciones,Estados Unidos anuncia salida del acuerdo nuclear con Irán,sanciones/oferta,Presión alcista por riesgo de menor oferta iraní,4,Incrementa percepción de riesgo geopolítico petrolero.,Base curada,,Base curada
2018-11-05,Geopolítica/Sanciones,Entrada en vigor de sanciones petroleras de Estados Unidos contra Irán,sanciones/oferta,Presión alcista aunque mitigada por exenciones y oferta alternativa,3,Evento asociado a incertidumbre de oferta.,Base curada,,Base curada
2019-09-14,Geopolítica/Ataques,Ataques a instalaciones Abqaiq y Khurais en Arabia Saudita,infraestructura/oferta,Presión alcista por interrupción temporal de capacidad petrolera,5,Shock geopolítico directo sobre infraestructura energética.,Base curada,,Base curada
2020-03-06,OPEP/Oferta,Ruptura temporal de negociaciones OPEP+ y guerra de precios Arabia Saudita-Rusia,oferta/precios,Presión bajista por expectativa de sobreoferta,5,Evento crítico en el colapso de precios de 2020.,Base curada,,Base curada
2020-03-11,Demanda/COVID-19,OMS declara pandemia de COVID-19,demanda,Presión bajista extrema por contracción de movilidad y demanda,5,Shock global de demanda energética.,Base curada,,Base curada
2020-04-12,OPEP/Oferta,OPEP+ acuerda recortes históricos de producción,oferta,Presión alcista/estabilizadora tras colapso de demanda,5,Medida de estabilización extraordinaria.,Base curada,,Base curada
2020-04-20,Mercado/WTI,Precio WTI cae a valores negativos en contratos cercanos,mercado/almacenamiento,Señal extrema de desbalance de mercado y almacenamiento,5,Evento excepcional de mercado petrolero.,Base curada,,Base curada
2021-02-15,Clima/Refinación,Tormenta invernal en Texas afecta producción y refinerías,refinación/oferta,Presión alcista temporal en productos y crudo,4,Interrupciones energéticas regionales relevantes.,Base curada,,Base curada
